snapshot_date,league_id,team_id,team_name,rank,wins,losses,ties,pct,gb,stat_id,category,raw_value,roto_points
2026-07-20,35457,3,Ender Wiggins,,,,,,,1,GP,968.0,
2026-07-20,35457,3,Ender Wiggins,,,,,,,60,SVH,,
2026-07-20,35457,3,Ender Wiggins,,,,,,,7,R,551.0,13.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,12,HR,159.0,11.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,13,RBI,500.0,10.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,16,SB,107.0,14.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,3,AVG,0.255,11.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,50,IP2,671.0,
2026-07-20,35457,3,Ender Wiggins,,,,,,,28,W,53.0,14.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,42,K,636.0,5.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,26,ERA,3.29,12.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,27,WHIP,1.1,13.0
2026-07-20,35457,3,Ender Wiggins,,,,,,,89,SV2,65.0,9.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,1,GP,972.0,
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,60,SVH,,
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,7,R,594.0,14.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,12,HR,170.0,13.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,13,RBI,502.0,11.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,16,SB,86.0,7.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,3,AVG,0.252,7.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,50,IP2,715.2,
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,28,W,47.0,10.5
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,42,K,749.0,14.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,26,ERA,3.6,8.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,27,WHIP,1.18,9.0
2026-07-20,35457,10,Rebuilding Year v16.1,,,,,,,89,SV2,72.0,12.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,1,GP,981.0,
2026-07-20,35457,12,VerRosenbergs,,,,,,,60,SVH,,
2026-07-20,35457,12,VerRosenbergs,,,,,,,7,R,519.0,10.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,12,HR,135.0,7.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,13,RBI,515.0,13.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,16,SB,88.0,9.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,3,AVG,0.248,5.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,50,IP2,640.2,
2026-07-20,35457,12,VerRosenbergs,,,,,,,28,W,41.0,6.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,42,K,676.0,7.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,26,ERA,3.54,10.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,27,WHIP,1.13,12.0
2026-07-20,35457,12,VerRosenbergs,,,,,,,89,SV2,82.0,14.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,1,GP,992.0,
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,60,SVH,,
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,7,R,510.0,8.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,12,HR,151.0,10.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,13,RBI,490.0,8.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,16,SB,55.0,1.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,3,AVG,0.263,14.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,50,IP2,686.2,
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,28,W,43.0,7.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,42,K,738.0,13.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,26,ERA,3.26,13.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,27,WHIP,1.13,11.0
2026-07-20,35457,14,You Give Suck a Bad Name,,,,,,,89,SV2,64.0,8.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,1,GP,957.0,
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,60,SVH,,
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,7,R,513.0,9.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,12,HR,177.0,14.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,13,RBI,493.0,9.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,16,SB,62.0,4.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,3,AVG,0.254,8.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,50,IP2,642.0,
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,28,W,48.0,12.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,42,K,723.0,12.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,26,ERA,3.76,6.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,27,WHIP,1.26,5.0
2026-07-20,35457,8,Nish's Rec League Team,,,,,,,89,SV2,68.0,10.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,1,GP,985.0,
2026-07-20,35457,4,For Me to Poop On,,,,,,,60,SVH,,
2026-07-20,35457,4,For Me to Poop On,,,,,,,7,R,475.0,3.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,12,HR,139.0,8.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,13,RBI,481.0,7.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,16,SB,81.0,6.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,3,AVG,0.245,2.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,50,IP2,665.0,
2026-07-20,35457,4,For Me to Poop On,,,,,,,28,W,47.0,10.5
2026-07-20,35457,4,For Me to Poop On,,,,,,,42,K,720.0,11.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,26,ERA,3.1,14.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,27,WHIP,1.09,14.0
2026-07-20,35457,4,For Me to Poop On,,,,,,,89,SV2,77.0,13.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,1,GP,993.0,
2026-07-20,35457,5,Salad Dodgers,,,,,,,60,SVH,,
2026-07-20,35457,5,Salad Dodgers,,,,,,,7,R,550.0,12.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,12,HR,146.0,9.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,13,RBI,505.0,12.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,16,SB,87.0,8.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,3,AVG,0.246,3.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,50,IP2,709.0,
2026-07-20,35457,5,Salad Dodgers,,,,,,,28,W,52.0,13.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,42,K,701.0,9.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,26,ERA,3.94,5.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,27,WHIP,1.25,6.0
2026-07-20,35457,5,Salad Dodgers,,,,,,,89,SV2,69.0,11.0
2026-07-20,35457,2,Avners iballers,,,,,,,1,GP,981.0,
2026-07-20,35457,2,Avners iballers,,,,,,,60,SVH,,
2026-07-20,35457,2,Avners iballers,,,,,,,7,R,524.0,11.0
2026-07-20,35457,2,Avners iballers,,,,,,,12,HR,163.0,12.0
2026-07-20,35457,2,Avners iballers,,,,,,,13,RBI,524.0,14.0
2026-07-20,35457,2,Avners iballers,,,,,,,16,SB,101.0,12.0
2026-07-20,35457,2,Avners iballers,,,,,,,3,AVG,0.255,12.0
2026-07-20,35457,2,Avners iballers,,,,,,,50,IP2,673.0,
2026-07-20,35457,2,Avners iballers,,,,,,,28,W,40.0,5.0
2026-07-20,35457,2,Avners iballers,,,,,,,42,K,677.0,8.0
2026-07-20,35457,2,Avners iballers,,,,,,,26,ERA,4.48,1.0
2026-07-20,35457,2,Avners iballers,,,,,,,27,WHIP,1.32,2.0
2026-07-20,35457,2,Avners iballers,,,,,,,89,SV2,44.0,4.0
2026-07-20,35457,1,The Bear Jew,,,,,,,1,GP,992.0,
